client_ip,server_ip,direction,adu_count
PRIVATE_IP_001,PRIVATE_IP_016,Query,250
PRIVATE_IP_001,PRIVATE_IP_016,Response,250
PRIVATE_IP_001,PRIVATE_IP_017,Query,749
PRIVATE_IP_001,PRIVATE_IP_017,Response,750
PRIVATE_IP_001,PRIVATE_IP_018,Query,749
PRIVATE_IP_001,PRIVATE_IP_018,Response,749
PRIVATE_IP_001,PRIVATE_IP_019,Query,749
PRIVATE_IP_001,PRIVATE_IP_019,Response,749
PRIVATE_IP_001,PRIVATE_IP_020,Query,499
PRIVATE_IP_001,PRIVATE_IP_020,Response,499
PRIVATE_IP_001,PRIVATE_IP_021,Query,997
PRIVATE_IP_001,PRIVATE_IP_021,Response,997
PRIVATE_IP_001,PRIVATE_IP_022,Query,249
PRIVATE_IP_001,PRIVATE_IP_022,Response,249
PRIVATE_IP_001,PRIVATE_IP_025,Query,499
PRIVATE_IP_001,PRIVATE_IP_025,Response,499
PRIVATE_IP_001,PRIVATE_IP_009,Query,249
PRIVATE_IP_001,PRIVATE_IP_009,Response,249
PRIVATE_IP_001,PRIVATE_IP_012,Query,250
PRIVATE_IP_001,PRIVATE_IP_012,Response,250
PRIVATE_IP_001,PRIVATE_IP_013,Query,249
PRIVATE_IP_001,PRIVATE_IP_013,Response,249
PRIVATE_IP_001,PRIVATE_IP_014,Query,249
PRIVATE_IP_001,PRIVATE_IP_014,Response,249
PRIVATE_IP_001,PRIVATE_IP_015,Query,1995
PRIVATE_IP_001,PRIVATE_IP_015,Response,1995
